"","Date","JPM"
"579","4/22/2008",36.712559
"580","4/23/2008",36.31044
"581","4/24/2008",37.774124
"582","4/25/2008",38.433575
"583","4/28/2008",38.071678
"584","4/29/2008",37.862587
"585","4/30/2008",38.320992
"586","5/1/2008",39.607723
"587","5/2/2008",39.133244
"588","5/5/2008",38.602467
"589","5/6/2008",38.763306
"590","5/7/2008",37.452438
"591","5/8/2008",37.034245
"592","5/9/2008",37.452438
"593","5/12/2008",37.991261
"594","5/13/2008",36.575836
"595","5/14/2008",36.92165
"596","5/15/2008",37.814323
"597","5/16/2008",37.420258
"598","5/19/2008",36.985985
"599","5/20/2008",35.144318
"600","5/21/2008",34.114914
"601","5/22/2008",34.62159
"602","5/23/2008",34.034508
"603","5/27/2008",34.58942
"604","5/28/2008",34.468784
"605","5/29/2008",35.039772
"606","5/30/2008",34.581375
"607","6/2/2008",33.897789
"608","6/3/2008",33.688694
"609","6/4/2008",33.479599
"610","6/5/2008",33.857567
"611","6/6/2008",32.241089
"612","6/9/2008",30.166216
"613","6/10/2008",30.793507
"614","6/11/2008",29.860615
"615","6/12/2008",30.568319
"616","6/13/2008",31.830948
"617","6/16/2008",32.120464
"618","6/17/2008",31.396669
"619","6/18/2008",31.155407
"620","6/19/2008",31.083031
"621","6/20/2008",30.447697
"622","6/23/2008",29.651522
"623","6/24/2008",30.335102
"624","6/25/2008",30.487906
"625","6/26/2008",29.209198
"626","6/27/2008",28.187836
"627","6/30/2008",27.592722
"628","7/1/2008",27.665907
"629","7/2/2008",28.137583
"630","7/3/2008",28.714968
"631","7/7/2008",27.682173
"632","7/8/2008",29.089056
"633","7/9/2008",27.877348
"634","7/10/2008",28.064388
"635","7/11/2008",26.966539
"636","7/14/2008",25.771093
"637","7/15/2008",25.226234
"638","7/16/2008",29.227297
"639","7/17/2008",33.179581
"640","7/18/2008",32.545258
"641","7/21/2008",31.43115
"642","7/22/2008",33.228374
"643","7/23/2008",34.122906
"644","7/24/2008",31.829626
"645","7/25/2008",32.138649
"646","7/28/2008",30.626057
"647","7/29/2008",33.138931
"648","7/30/2008",33.805763
"649","7/31/2008",33.041332
"650","8/1/2008",33.147038
"651","8/4/2008",32.642838
"652","8/5/2008",34.06599
"653","8/6/2008",33.659359
"654","8/7/2008",32.374493
"655","8/8/2008",33.399151
"656","8/11/2008",34.06599
"657","8/12/2008",30.837481
"658","8/13/2008",30.016125
"659","8/14/2008",30.748032
"660","8/15/2008",30.959467
"661","8/18/2008",29.877884
"662","8/19/2008",28.934542
"663","8/20/2008",30.089319
"664","8/21/2008",29.487534
"665","8/22/2008",30.634176
"666","8/25/2008",29.381817
"667","8/26/2008",29.77216
"668","8/27/2008",30.203173
"669","8/28/2008",31.618185
"670","8/29/2008",31.301025
"671","9/2/2008",31.707638
"672","9/3/2008",32.293167
"673","9/4/2008",30.829363
"674","9/5/2008",32.203701
"675","9/8/2008",33.789482
"676","9/9/2008",32.097977
"677","9/10/2008",32.04105
"678","9/11/2008",33.870815
"679","9/12/2008",33.480473
"680","9/15/2008",30.089319
"681","9/16/2008",33.130779
"682","9/17/2008",29.089056
"683","9/18/2008",32.772961
"684","9/19/2008",38.262226
